status,url,est_cost,da_no,date_lodged,desc
Awaiting Allocation,,,DA-41/2016,08/02/2016,Strata subdivision into eight lots
Allocated,,"$695,000",DA-43/2016,10/02/2016,"Demolition of existing dwelling and proposed erection of a warehouse in light industrial zone including front fence"
Allocated,,"$908,900",DA-45/2016,10/02/2016,"Proposed demolition of existing structures and construction of a multi-dwelling infill affordable housing development comprising of five (5) units, car parking and Strata subdivision"
Under Assessment,,"$3,830,425",DA-637/2015,22/12/2015,"Mixed use development 2 commercial, 14 residential units and demolition of existing structures"
Approved,,"$464,200",DA-312/2015,20/07/2015,Demolition of existing structures and construction of a dual occupancy development with Torrens Title subdivision
Awaiting Further Information - CLOCK STOPPED,,"$2,702,900",DA-476/2015,08/10/2015,"Consolidation of two lots into one lot, demolition of existing structures, construction of a two storey residential flat building with basement carparking."
Awaiting Further Information - CLOCK STOPPED,,"$500,000",DA-562/2015,19/11/2015,Demolition of existing structures and construction of dual occupancy development with associated Torrens title subdivision
Awaiting Allocation,,,DA-584/2013/B,04/02/2016,Section 96(1A) minor alterations to internal use and layout design changes
Allocated,,,DA-42/2016,09/02/2016,Change of use to Indian restaurant and cafe
Allocated,,"$200,000",CC-7/2016,15/02/2016,Alterations and additions to existing semi-detached dwelling and construction of detached secondary dwelling
Surrendered,,"$161,000",DA-489/2015,14/10/2015,Proposed extension and new garage to existing dwelling.
Awaiting Further Information - CLOCK STOPPED,,,DA-148/2012/B,25/09/2014,Section 96 modification to amend the layout and design of an approved dual occupancy development.
On Notification,,"$5,841,412",DA-579/2015,27/11/2015,"Construction of a five storey shop top housing development comprising two commercial ground floor tenancies, 26 residential apartments and two level basement carparking"
Allocated,,,DA-346/2014/A,21/01/2016,"Increase each floor height from 2.9m to 3m, increase the overall height of the building by 500mm, internal layout amendements to all floors to improve location of the wet areas and improve the layout of basement levels 1 & 2 and delete the third basement level"
Under Assessment,,"$4,500",BC-52/2014,15/09/2014,Unauthorised awning at the rear of existing commercial premises.
Approved,,"$150,000",DA-347/2015,07/08/2015,Alterations & additions to the existing dwelling
Under Assessment,,,DA-24/2014/B,17/12/2015,Section 96 modification to an approved mixed use development by expanding the upper two floors (levels 9 & 10) at the rear of the approved building facing Lakemba St. The additional floor space will alter the internal layout of the building and create one additional unit
